ASMO01000004.23831.25277	Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Candidatus Aenigmarchaeota archaeon JGI 0000106-F11	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Candidatus Aenigmarchaeota archaeon JGI 0000106-F11	_unclassified_	Candidatus Aenigmarchaeota archaeon JGI 0000106-F11
ASMQ01000007.23975.25425	Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Candidatus Aenigmarchaeum;Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Candidatus Aenigmarchaeum	Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16	Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16
AB050206.1.1687	Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);uncultured archaeon SAGMA-B	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic Group(DSEG)	uncultured archaeon SAGMA-B	_unclassified_	_unclassified_	uncultured archaeon SAGMA-B
MCBF01000001.541619.543111	Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus Altiarchaeum;Candidatus Altiarchaeales archaeon IMC4	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus Altiarchaeum	Candidatus Altiarchaeales archaeon IMC4
MNZY01000038.10559.12029	Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus Altiarchaeum;Candidatus Altiarchaeum sp. CG2_30_32_3053	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus Altiarchaeum	Candidatus Altiarchaeum sp. CG2_30_32_3053
CCXY01000234.9028.10480	Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus Altiarchaeum;groundwater metagenome	Archaea	Altiarchaeota	Altiarchaeia	Altiarchaeales	Altiarchaeaceae	Candidatus Altiarchaeum	groundwater metagenome
JYIM01000321.1.1179	Archaea;Asgardarchaeota;Lokiarchaeia;Lokiarchaeum sp. GC14_75	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeum sp. GC14_75	_unclassified_	_unclassified_	Lokiarchaeum sp. GC14_75
FJ264731.1.945	Archaea;Crenarchaeota;Bathyarchaeia;uncultured archaeon	Archaea	Crenarchaeota	Bathyarchaeia	uncultured archaeon	_unclassified_	_unclassified_	uncultured archaeon
AWOC01000023.11513.12991	Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Caldiarchaeaceae;Candidatus Caldiarchaeum;Thaumarchaeota archaeon JGI OTU-3	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Caldiarchaeaceae	Candidatus Caldiarchaeum	Thaumarchaeota archaeon JGI OTU-3
EU240001.1.902	Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Caldiarchaeaceae;Candidatus Caldiarchaeum;uncultured crenarchaeote	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Caldiarchaeaceae	Candidatus Caldiarchaeum	uncultured crenarchaeote
