accession	taxid	species	genus	family	order	class	phylum	superkingdom	path
AB087499	1056495	Caldisphaera lagunensis	Caldisphaera	Caldisphaeraceae	Acidilobales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Acidilobales➤Caldisphaeraceae➤Caldisphaera➤Caldisphaera lagunensis
CP003321	768672	Desulfurococcus amylolyticus	Desulfurococcus	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Desulfurococcales➤Desulfurococcaceae➤Desulfurococcus➤Desulfurococcus amylolyticus
CP000816	453591	Ignicoccus hospitalis	Ignicoccus	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Desulfurococcales➤Desulfurococcaceae➤Ignicoccus➤Ignicoccus hospitalis
CP002098	583356	Ignisphaera aggregans	Ignisphaera	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Desulfurococcales➤Desulfurococcaceae➤Ignisphaera➤Ignisphaera aggregans
CP002051	591019	Staphylothermus hellenicus	Staphylothermus	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Desulfurococcales➤Desulfurococcaceae➤Staphylothermus➤Staphylothermus hellenicus
CP003531	1184251	Thermogladius calderae	Thermogladius	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Desulfurococcales➤Desulfurococcaceae➤Thermogladius➤Thermogladius calderae
CP001939	633148	Thermosphaera aggregans	Thermosphaera	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Desulfurococcales➤Desulfurococcaceae➤Thermosphaera➤Thermosphaera aggregans
JF509453	1004781	Desulfurococcaceae archaeon CSC-16S	Unclassified Desulfurococcaceae	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Desulfurococcales➤Desulfurococcaceae➤Unclassified Desulfurococcaceae➤Desulfurococcaceae archaeon CSC-16S
CP013011	1273541	Pyrodictium delaneyi	Pyrodictium	Pyrodictiaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Desulfurococcales➤Pyrodictiaceae➤Pyrodictium➤Pyrodictium delaneyi
CP003423	1163730	Fervidicoccus fontis	Fervidicoccus	Fervidicoccaceae	Fervidicoccales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Fervidicoccales➤Fervidicoccaceae➤Fervidicoccus➤Fervidicoccus fontis
CP002535	933801	Acidianus hospitalis	Acidianus	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Sulfolobales➤Sulfolobaceae➤Acidianus➤Acidianus hospitalis
ASRH01000005	1326980	Candidatus Aramenus sulfurataquae	Candidatus Aramenus	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Sulfolobales➤Sulfolobaceae➤Candidatus Aramenus➤Candidatus Aramenus sulfurataquae
CP000682	399549	Metallosphaera sedula	Metallosphaera	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Sulfolobales➤Sulfolobaceae➤Metallosphaera➤Metallosphaera sedula
AHKJ01000108	671065	Metallosphaera yellowstonensis	Metallosphaera	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Sulfolobales➤Sulfolobaceae➤Metallosphaera➤Metallosphaera yellowstonensis
LT549890	2287	Saccharolobus solfataricus	Saccharolobus	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Sulfolobales➤Sulfolobaceae➤Saccharolobus➤Saccharolobus solfataricus
APJY01000001	1294123	Sulfolobales archaeon Acd1	Unclassified Sulfolobales	Unclassified Sulfolobales	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Sulfolobales➤Unclassified Sulfolobales➤Unclassified Sulfolobales➤Sulfolobales archaeon Acd1
X14835	2269	Thermofilum pendens	Thermofilum	Thermofilaceae	Thermofilales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Thermofilales➤Thermofilaceae➤Thermofilum➤Thermofilum pendens
AB013926	76887	Caldivirga maquilingensis	Caldivirga	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Thermoproteales➤Thermoproteaceae➤Caldivirga➤Caldivirga maquilingensis
AB078332	410359	Pyrobaculum calidifontis	Pyrobaculum	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Thermoproteales➤Thermoproteaceae➤Pyrobaculum➤Pyrobaculum calidifontis
CP001014	444157	Pyrobaculum neutrophilum	Pyrobaculum	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Thermoproteales➤Thermoproteaceae➤Pyrobaculum➤Pyrobaculum neutrophilum
CP002590	999630	Thermoproteus uzoniensis	Thermoproteus	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Thermoproteales➤Thermoproteaceae➤Thermoproteus➤Thermoproteus uzoniensis
CP002100	572478	Vulcanisaeta distributa	Vulcanisaeta	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Thermoproteales➤Thermoproteaceae➤Vulcanisaeta➤Vulcanisaeta distributa
AQYM01000016	1052801	Crenarchaeota archaeon SCGC AAA471-B05	Unclassified Crenarchaeota	Unclassified Crenarchaeota	Unclassified Crenarchaeota	Unclassified Crenarchaeota	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Unclassified Crenarchaeota➤Unclassified Crenarchaeota➤Unclassified Crenarchaeota➤Unclassified Crenarchaeota➤Crenarchaeota archaeon SCGC AAA471-B05
AQVF01000003	1130299	crenarchaeote SCGC AAA261-C22	Unclassified Crenarchaeota	Unclassified Crenarchaeota	Unclassified Crenarchaeota	Unclassified Crenarchaeota	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Unclassified Crenarchaeota➤Unclassified Crenarchaeota➤Unclassified Crenarchaeota➤Unclassified Crenarchaeota➤crenarchaeote SCGC AAA261-C22
EU240001	29281	uncultured crenarchaeote	Unclassified Crenarchaeota	Unclassified Crenarchaeota	Unclassified Crenarchaeota	Unclassified Crenarchaeota	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Unclassified Crenarchaeota➤Unclassified Crenarchaeota➤Unclassified Crenarchaeota➤Unclassified Crenarchaeota➤uncultured crenarchaeote
HM448141	29281	uncultured crenarchaeote	Unclassified Crenarchaeota	Unclassified Crenarchaeota	Unclassified Crenarchaeota	Unclassified Crenarchaeota	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Unclassified Crenarchaeota➤Unclassified Crenarchaeota➤Unclassified Crenarchaeota➤Unclassified Crenarchaeota➤uncultured crenarchaeote
CP006577	1344584	Archaeoglobus fulgidus	Archaeoglobus	Archaeoglobaceae	Archaeoglobales	Archaeoglobi	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Archaeoglobi➤Archaeoglobales➤Archaeoglobaceae➤Archaeoglobus➤Archaeoglobus fulgidus
CP001899	589924	Ferroglobus placidus	Ferroglobus	Archaeoglobaceae	Archaeoglobales	Archaeoglobi	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Archaeoglobi➤Archaeoglobales➤Archaeoglobaceae➤Ferroglobus➤Ferroglobus placidus
LQMP01000030	1776333	Hadesarchaea archaeon YNP_N21	Unclassified Hadesarchaea	Unclassified Hadesarchaea	Unclassified Hadesarchaea	Hadesarchaea	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Hadesarchaea➤Unclassified Hadesarchaea➤Unclassified Hadesarchaea➤Unclassified Hadesarchaea➤Hadesarchaea archaeon YNP_N21
DQ854818	396317	Haloarcula amylolytica	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Halobacteriales➤Haloarculaceae➤Haloarcula➤Haloarcula amylolytica
AB663392	485914	Halomicrobium mukohataei	Halomicrobium	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Halobacteriales➤Haloarculaceae➤Halomicrobium➤Halomicrobium mukohataei
AB663400	146826	Halorhabdus utahensis	Halorhabdus	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Halobacteriales➤Haloarculaceae➤Halorhabdus➤Halorhabdus utahensis
AJ586107	797114	Halosimplex carlsbadense	Halosimplex	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Halobacteriales➤Haloarculaceae➤Halosimplex➤Halosimplex carlsbadense
AB663432	348780	Natronomonas pharaonis	Natronomonas	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Halobacteriales➤Haloarculaceae➤Natronomonas➤Natronomonas pharaonis
AQXI01000001	797209	Haladaptatus paucihalophilus	Haladaptatus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Halobacteriales➤Halobacteriaceae➤Haladaptatus➤Haladaptatus paucihalophilus
AB477223	795797	Halalkalicoccus jeotgali	Halalkalicoccus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Halobacteriales➤Halobacteriaceae➤Halalkalicoccus➤Halalkalicoccus jeotgali
AJ496185	2597657	Halobacterium salinarum	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Halobacteriales➤Halobacteriaceae➤Halobacterium➤Halobacterium salinarum
AB663384	469382	Halogeometricum borinquense	Halogeometricum	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Haloferacales➤Haloferacaceae➤Halogeometricum➤Halogeometricum borinquense
AB771431	693851	Halogranum salarium	Halogranum	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Haloferacales➤Haloferacaceae➤Halogranum➤Halogranum salarium
JN206648	376171	Haloplanus natans	Haloplanus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Haloferacales➤Haloferacaceae➤Haloplanus➤Haloplanus natans
FR746099	768065	Haloquadratum walsbyi	Haloquadratum	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Haloferacales➤Haloferacaceae➤Haloquadratum➤Haloquadratum walsbyi
JF421969	1073996	Halohasta litchfieldiae	Halohasta	Halorubraceae	Haloferacales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Haloferacales➤Halorubraceae➤Halohasta➤Halohasta litchfieldiae
AGCX01000009	1070774	Halonotius sp. J07HN4	Halonotius	Halorubraceae	Haloferacales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Haloferacales➤Halorubraceae➤Halonotius➤Halonotius sp. J07HN4
JF979130	1048396	Halopenitus persicus	Halopenitus	Halorubraceae	Haloferacales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Haloferacales➤Halorubraceae➤Halopenitus➤Halopenitus persicus
CP001366	416348	Halorubrum lacusprofundi	Halorubrum	Halorubraceae	Haloferacales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Haloferacales➤Halorubraceae➤Halorubrum➤Halorubrum lacusprofundi
CP002988	756883	halophilic archaeon DL31	Unclassified Haloferacales	Unclassified Haloferacales	Haloferacales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Haloferacales➤Unclassified Haloferacales➤Unclassified Haloferacales➤halophilic archaeon DL31
AB477974	797210	Halopiger xanaduensis	Halopiger	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Natrialbales➤Natrialbaceae➤Halopiger➤Halopiger xanaduensis
AM117571	797299	Halostagnicola larsenii	Halostagnicola	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Natrialbales➤Natrialbaceae➤Halostagnicola➤Halostagnicola larsenii
AB004878	543526	Haloterrigena turkmenica	Haloterrigena	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Natrialbales➤Natrialbaceae➤Haloterrigena➤Haloterrigena turkmenica
AM039978	332953	Halovivax asiaticus	Halovivax	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Natrialbales➤Natrialbaceae➤Halovivax➤Halovivax asiaticus
AB663457	123783	Natrialba hulunbeirensis	Natrialba	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Natrialbales➤Natrialbaceae➤Natrialba➤Natrialba hulunbeirensis
AB477231	797303	Natrinema pellirubrum	Natrinema	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Natrialbales➤Natrialbaceae➤Natrinema➤Natrinema pellirubrum
AB663467	44930	Natronobacterium gregoryi	Natronobacterium	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Natrialbales➤Natrialbaceae➤Natronobacterium➤Natronobacterium gregoryi
KP861849	29288	Natronococcus occultus	Natronococcus	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Natrialbales➤Natrialbaceae➤Natronococcus➤Natronococcus occultus
CP005962	1333523	Salinarchaeum sp. Harcht-Bsk1	Salinarchaeum	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Halobacteria➤Natrialbales➤Natrialbaceae➤Salinarchaeum➤Salinarchaeum sp. Harcht-Bsk1
CP002772	868131	Methanobacterium paludis	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanobacteria➤Methanobacteriales➤Methanobacteriaceae➤Methanobacterium➤Methanobacterium paludis
CP000678	420247	Methanobrevibacter smithii	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanobacteria➤Methanobacteriales➤Methanobacteriaceae➤Methanobrevibacter➤Methanobrevibacter smithii
CP000102	339860	Methanosphaera stadtmanae	Methanosphaera	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanobacteria➤Methanobacteriales➤Methanobacteriaceae➤Methanosphaera➤Methanosphaera stadtmanae
AE000666	187420	Methanothermobacter thermautotrophicus	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanobacteria➤Methanobacteriales➤Methanobacteriaceae➤Methanothermobacter➤Methanothermobacter thermautotrophicus
CP002278	523846	Methanothermus fervidus	Methanothermus	Methanothermaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanobacteria➤Methanobacteriales➤Methanothermaceae➤Methanothermus➤Methanothermus fervidus
L77117	243232	Methanocaldococcus jannaschii	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanococci➤Methanococcales➤Methanocaldococcaceae➤Methanocaldococcus➤Methanocaldococcus jannaschii
CP002737	880724	Methanotorris igneus	Methanotorris	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanococci➤Methanococcales➤Methanocaldococcaceae➤Methanotorris➤Methanotorris igneus
KC139247	39152	Methanococcus maripaludis	Methanococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanococci➤Methanococcales➤Methanococcaceae➤Methanococcus➤Methanococcus maripaludis
CP002792	647113	Methanothermococcus okinawensis	Methanothermococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanococci➤Methanococcales➤Methanococcaceae➤Methanothermococcus➤Methanothermococcus okinawensis
AM114193	351160	Methanocella arvoryzae	Methanocella	Methanocellaceae	Methanocellales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanocellales➤Methanocellaceae➤Methanocella➤Methanocella arvoryzae
CP000559	410358	Methanocorpusculum labreanum	Methanocorpusculum	Methanocorpusculaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanomicrobiales➤Methanocorpusculaceae➤Methanocorpusculum➤Methanocorpusculum labreanum
HE964772	1201294	Methanoculleus bourgensis	Methanoculleus	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanomicrobiales➤Methanomicrobiaceae➤Methanoculleus➤Methanoculleus bourgensis
AGCO01000001	28892	Methanofollis liminatans	Methanofollis	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanomicrobiales➤Methanomicrobiaceae➤Methanofollis➤Methanofollis liminatans
CP002117	679926	Methanolacinia petrolearia	Methanolacinia	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanomicrobiales➤Methanomicrobiaceae➤Methanolacinia➤Methanolacinia petrolearia
M59142	694440	Methanomicrobium mobile	Methanomicrobium	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanomicrobiales➤Methanomicrobiaceae➤Methanomicrobium➤Methanomicrobium mobile
AB162774	882090	Methanolinea tarda	Methanolinea	Methanoregulaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanomicrobiales➤Methanoregulaceae➤Methanolinea➤Methanolinea tarda
CP000780	456442	Methanoregula boonei	Methanoregula	Methanoregulaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanomicrobiales➤Methanoregulaceae➤Methanoregula➤Methanoregula boonei
CP001338	521011	Methanosphaerula palustris	Methanosphaerula	Methanoregulaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanomicrobiales➤Methanoregulaceae➤Methanosphaerula➤Methanosphaerula palustris
CP000254	323259	Methanospirillum hungatei	Methanospirillum	Methanospirillaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanomicrobiales➤Methanospirillaceae➤Methanospirillum➤Methanospirillum hungatei
JF789589	183760	uncultured Methanomicrobiales archaeon	Unclassified Methanomicrobiales	Unclassified Methanomicrobiales	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanomicrobiales➤Unclassified Methanomicrobiales➤Unclassified Methanomicrobiales➤uncultured Methanomicrobiales archaeon
JMIY01000002	1392998	Candidatus Methanoperedens nitroreducens	Candidatus Methanoperedens	Candidatus Methanoperedenaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	Archaea➤Euryarchaeota➤Methanomicrobia➤Methanosarcinales➤Candidatus Methanoperedenaceae➤Candidatus Methanoperedens➤Candidatus Methanoperedens nitroreducens
